name,country,region,population,revision_id,article_quality
José Carvalho da Rocha,Angola,MIDDLE AFRICA,36700000.0,1242307441.0,Stub
José Luis de Matos,Angola,MIDDLE AFRICA,36700000.0,1242307337.0,Stub
Kambamba Kulaxingo,Angola,MIDDLE AFRICA,36700000.0,1093124425.0,Stub
Jesus Faria Maiato,Angola,MIDDLE AFRICA,36700000.0,1209631313.0,Stub
Manuel Neto da Costa,Angola,MIDDLE AFRICA,36700000.0,1209411144.0,Stub
Manuel Tavares de Almeida,Angola,MIDDLE AFRICA,36700000.0,1209411217.0,Stub
Marcos Alexandre Nhunga,Angola,MIDDLE AFRICA,36700000.0,1209413818.0,Stub
Maria Cândida Pereira Teixeira,Angola,MIDDLE AFRICA,36700000.0,1218506469.0,Stub
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,MIDDLE AFRICA,36700000.0,1209513699.0,Stub
David Mendes,Angola,MIDDLE AFRICA,36700000.0,1024544204.0,Stub
Saíde Mingas,Angola,MIDDLE AFRICA,36700000.0,1242306726.0,GA
Fernando Faustino Muteka,Angola,MIDDLE AFRICA,36700000.0,1241977176.0,Stub
Pedro Mutinde,Angola,MIDDLE AFRICA,36700000.0,1209539718.0,Start
José Ndele,Angola,MIDDLE AFRICA,36700000.0,1154991360.0,Stub
Ana Paula Sacramento Neto,Angola,MIDDLE AFRICA,36700000.0,1227909121.0,Stub
Daniel Ntongi-Nzinga,Angola,MIDDLE AFRICA,36700000.0,1187961349.0,Stub
Paula Cristina Francisco Coelho,Angola,MIDDLE AFRICA,36700000.0,1209410923.0,Stub
Pedro Pedalé,Angola,MIDDLE AFRICA,36700000.0,1115715527.0,Stub
Elias Salupeto Pena,Angola,MIDDLE AFRICA,36700000.0,1220287990.0,Start
Johnny Eduardo Pinnock,Angola,MIDDLE AFRICA,36700000.0,1242307359.0,Stub
Santana André Pitra,Angola,MIDDLE AFRICA,36700000.0,1165626399.0,Stub
Francisco Manuel Monteiro de Queiróz,Angola,MIDDLE AFRICA,36700000.0,1242307454.0,Stub
José Aníbal Lopes Rocha,Angola,MIDDLE AFRICA,36700000.0,1242307479.0,Stub
José da Rocha,Angola,MIDDLE AFRICA,36700000.0,1153488959.0,Stub
Rosa Luís de Sousa Micolo,Angola,MIDDLE AFRICA,36700000.0,1246271741.0,Stub
Luís Gomes Sambo,Angola,MIDDLE AFRICA,36700000.0,1242306989.0,Start
Branca Manuel Espirito Santo,Angola,MIDDLE AFRICA,36700000.0,1142474441.0,Stub
João Ernesto dos Santos,Angola,MIDDLE AFRICA,36700000.0,1226309621.0,Stub
José Filomeno dos Santos,Angola,MIDDLE AFRICA,36700000.0,1228399791.0,C
Jonas Savimbi,Angola,MIDDLE AFRICA,36700000.0,1246026420.0,GA
Pinda Simão,Angola,MIDDLE AFRICA,36700000.0,1118804168.0,Stub
Manuel Bernardo de Sousa,Angola,MIDDLE AFRICA,36700000.0,1233607984.0,Stub
Augusto da Silva Tomás,Angola,MIDDLE AFRICA,36700000.0,1219179734.0,Stub
José Jacinto Van-Dúnem,Angola,MIDDLE AFRICA,36700000.0,1242841039.0,C
José Vieira Dias Van-Dúnem,Angola,MIDDLE AFRICA,36700000.0,1227004140.0,Stub
Luzia Inglês Van-Dúnem,Angola,MIDDLE AFRICA,36700000.0,1240720719.0,Start
Manuel Vicente,Angola,MIDDLE AFRICA,36700000.0,1250493481.0,C
